alpha,beta,p_stay_noreward,p_stay_reward
0.14897214,0.024376165,0.53717431,0.54322888
0.20722427,0.08197227,0.55162147,0.57179942
0.18657533,-0.02009735,0.546509,0.54152364
0.11455594,0.21660125,0.52860771,0.58204091
0.054012329,0.24414226,0.5134998,0.57399133
0.020554633,0.24858223,0.50513848,0.56688099
0.37856363,-0.088953888,0.59352662,0.57190059
0.22041217,0.25859273,0.55488104,0.61751287
0.19343744,0.046562719,0.54820913,0.55971369
0.19341895,-0.01451116,0.54820455,0.54460803
0.14253435,0.15559894,0.53557338,0.57398612
0.099195162,0.2005552,0.52477848,0.57438149
0.093888183,0.18453514,0.52345482,0.56915964
0.1580229,0.078816341,0.53942372,0.55893458
0.22388176,0.0033674628,0.55573782,0.55656907
0.20723352,-0.12457638,0.55162376,0.52065253
0.22425082,-0.12284829,0.55582894,0.52532893
0.20759178,-0.13339072,0.55171237,0.51854176
0.30021285,-0.061643295,0.57449455,0.55936111
0.33192237,-0.14848912,0.58222705,0.54573016
0.32906695,-0.14352999,0.58153233,0.54625164
0.24221706,-0.012179206,0.56025994,0.55725719
0.1865783,0.062927896,0.54650973,0.56205496
0.22909263,-0.024549978,0.55702397,0.55095812
0.21920235,-0.059720756,0.55458221,0.53978611
0.24942867,-0.088649631,0.56203587,0.5401084
0.29038463,-0.027479373,0.57209029,0.56535033
0.30844897,-0.029759684,0.57650663,0.56922486
0.13109998,0.12733363,0.53272813,0.5642512
0.26173744,-0.051210187,0.56506334,0.55243828
0.17118548,0.093389567,0.54269217,0.56576061
0.20485047,0.01125625,0.55103428,0.55381739
0.052164009,0.26572856,0.51303805,0.57881057
0.11830123,0.036441674,0.52954086,0.53860871
0.20402422,0.031260608,0.55082986,0.55855134
0.11355575,0.15225894,0.52835847,0.56606513
0.085987989,0.21911762,0.52148376,0.57569015
0.085142165,0.21555901,0.52127269,0.57461392
0.04113935,0.1729268,0.51028339,0.55331311
0.053260134,0.17791756,0.51331189,0.5575384
0.17248743,0.16176886,0.54301526,0.58279464
0.14553925,0.06105685,0.53632072,0.5514661
0.13818806,0.099969147,0.53449214,0.55925947
0.23300109,0.0010160612,0.55798816,0.55823875
0.16179049,-0.018550118,0.54035962,0.53574899
0.27351882,0.081389064,0.56795657,0.58780722
0.12191501,-0.079029825,0.53044106,0.51071965
0.24947571,-0.0069749184,0.56204745,0.56032984
0.12639138,0.14751489,0.53155585,0.56805164
0.19259957,0.0076441052,0.5480016,0.54989431
0.14267504,0.17811274,0.53560838,0.57951623
0.16887683,0.031285745,0.54211915,0.54987424
0.18951553,0.012265126,0.54723758,0.5502747
0.26853377,-0.030244036,0.56673291,0.55929214
0.20660565,-0.0039407179,0.55146846,0.55049353
0.19843285,0.093738328,0.54944607,0.57252759
0.20310099,0.1184824,0.55060142,0.57971009
0.0045147296,0.23129846,0.50112868,0.55868162
-0.0065939028,0.23854787,0.49835153,0.55772989
0.044651115,0.21095936,0.51116092,0.56355694
0.071654515,0.21829768,0.51790597,0.57198443
0.1290924,0.13541905,0.53222836,0.56574498
0.14207506,0.14048573,0.53545914,0.57017392
0.11361132,0.04655984,0.52837232,0.5399574
0.14888822,0.015979622,0.53715345,0.54112385
0.050126305,0.26792014,0.51252895,0.57884808
0.046192561,0.30206417,0.51154609,0.58619478
0.044239914,0.32508191,0.51105817,0.5912951
0.033506944,0.32058349,0.50837595,0.58760915
0.045000302,0.2281017,0.51124818,0.56785428
0.21178353,0.073311495,0.55274887,0.57079489
0.096811781,0.15948389,0.52418406,0.56372547
0.1097824,0.18892325,0.52741807,0.57412607
0.23964887000000001,-0.025417881,0.55962712,0.55335385
0.19091248,0.065673401,0.54758368,0.56379684
0.18496098,0.0021216652,0.54610887,0.54663472
0.37618095,-0.16852957,0.59295166,0.55172711
0.054243511,0.22459115,0.51355755,0.5692605
0.21098721,0.078564094,0.552552,0.57188628
0.093032965,0.072579203,0.52324148,0.54130867
0.070029352,0.11052476,0.51750019,0.5450163
0.091298804,0.1318805,0.52280886,0.55556438
0.25576346,-0.032049852,0.56359457,0.55569631
0.20242979,-0.05757031,0.55043534,0.53615167
0.21102901,0.020983574,0.55256233,0.55774435
0.15841854,0.080943959,0.53952201,0.55955654
0.12090714,-0.010424418,0.53019002,0.52759262
0.18422641,0.071658767,0.54592678,0.56362451
0.19999848,0.011405029,0.54983362,0.55265492
0.2147437,0.080169647,0.55348056,0.57319857
0.15945643,0.075831607,0.53977985,0.55855213
0.15966314,0.098895539,0.5398312,0.56428195
0.2030349,0.01412953,0.55058507,0.55407874
0.10387532,0.039770001,0.5259455,0.53584971
0.20232439,0.091895653,0.55040926,0.57302895
0.22026039,-0.06303316,0.55484355,0.53922603
0.23536761,0.041657656,0.55857176,0.56881678
0.074575218,0.054651347,0.51863517,0.53226176
0.093776555,0.19016376,0.52342697,0.57051198
0.12113426,0.19430156,0.53024659,0.57821152
0.22342589,-0.040560286,0.55562527,0.54558943
0.23538893,0.0061555166,0.55857701,0.56009422
0.19283509,-0.02113764,0.54805994,0.54281922
0.16525461,0.18219701,0.54121989,0.58599947
0.070261158,0.16694544,0.51755807,0.55902514
0.1798343,-0.068636422,0.5448378,0.52777086
0.19941492,0.096293898,0.54968918,0.57339317
0.15506533,0.050597232,0.53868884,0.55123518
0.14243986,0.086792986,0.53554988,0.55705857
0.21310535,0.052348417,0.55307562,0.56597647
0.21963783,0.067890613,0.55468978,0.57139095
0.15233228,0.083740424,0.5380096,0.5587456
0.17237756,0.21649537,0.542988,0.59601135
