"subject","block","trial","first_trial_in_block","first_trial","card_right","card_left","ch_card","ch_key","selected_offer","reward","Q_ch_card","Q_unch_card","Q_right_card","Q_left_card","exp_val_right","exp_val_left","exp_val_ch","exp_val_unch","PE_cards","alpha","beta","scarcity"
1,4,15,0,0,1,2,2,1,0,0,0.138632457471251,0.0514649253187763,0.0514649253187763,0.138632457471251,0.2,0.2,0.2,0.2,-0.138632457471251,0.3,4,0.2
1,4,16,0,0,1,3,3,1,0,1,0.272445884723546,0.0514649253187763,0.0514649253187763,0.272445884723546,0.2,0.2,0.2,0.2,0.727554115276454,0.3,4,0.2
1,4,17,0,0,3,2,3,2,1,1,0.490712119306482,0.097042720229876,0.490712119306482,0.097042720229876,0.2,0.2,0.2,0.2,0.509287880693518,0.3,4,0.2
1,4,18,0,0,3,2,3,2,1,0,0.643498483514538,0.097042720229876,0.643498483514538,0.097042720229876,0.2,0.2,0.2,0.2,-0.643498483514538,0.3,4,0.2
1,4,19,0,0,3,2,2,1,0,0,0.097042720229876,0.450448938460176,0.450448938460176,0.097042720229876,0.2,0.2,0.2,0.2,-0.097042720229876,0.3,4,0.2
1,4,20,0,0,3,2,3,2,1,1,0.450448938460176,0.0679299041609132,0.450448938460176,0.0679299041609132,0.2,0.2,0.2,0.2,0.549551061539824,0.3,4,0.2
1,4,21,0,0,3,2,3,2,1,0,0.615314256922123,0.0679299041609132,0.615314256922123,0.0679299041609132,0.2,0.2,0.2,0.2,-0.615314256922123,0.3,4,0.2
1,4,22,0,0,2,1,2,2,1,0,0.0679299041609132,0.0514649253187763,0.0679299041609132,0.0514649253187763,0.2,0.2,0.2,0.2,-0.0679299041609132,0.3,4,0.2
1,4,23,0,0,1,2,2,1,0,1,0.0475509329126393,0.0514649253187763,0.0514649253187763,0.0475509329126393,0.2,0.2,0.2,0.2,0.952449067087361,0.3,4,0.2
1,4,24,0,0,1,3,3,1,0,0,0.430719979845486,0.0514649253187763,0.0514649253187763,0.430719979845486,0.2,0.2,0.2,0.2,-0.430719979845486,0.3,4,0.2
1,4,25,0,0,1,2,1,2,1,0,0.0514649253187763,0.333285653038847,0.0514649253187763,0.333285653038847,0.2,0.2,0.2,0.2,-0.0514649253187763,0.3,4,0.2
1,5,1,1,0,1,3,3,1,0,1,0.301503985891841,0.0360254477231434,0.0360254477231434,0.301503985891841,0.2,0.2,0.2,0.2,0.698496014108159,0.3,4,0.2
1,5,2,0,0,2,3,2,2,1,0,0.333285653038847,0.511052790124288,0.333285653038847,0.511052790124288,0.2,0.2,0.2,0.2,-0.333285653038847,0.3,4,0.2
1,5,3,0,0,2,1,2,2,1,0,0.233299957127193,0.0360254477231434,0.233299957127193,0.0360254477231434,0.2,0.2,0.2,0.2,-0.233299957127193,0.3,4,0.2
1,5,4,0,0,2,1,2,2,1,0,0.163309969989035,0.0360254477231434,0.163309969989035,0.0360254477231434,0.2,0.2,0.2,0.2,-0.163309969989035,0.3,4,0.2
1,5,5,0,0,1,2,2,1,0,0,0.114316978992325,0.0360254477231434,0.0360254477231434,0.114316978992325,0.2,0.2,0.2,0.2,-0.114316978992325,0.3,4,0.2
1,5,6,0,0,1,2,2,1,0,0,0.0800218852946273,0.0360254477231434,0.0360254477231434,0.0800218852946273,0.2,0.2,0.2,0.2,-0.0800218852946273,0.3,4,0.2
1,5,7,0,0,3,2,3,2,1,0,0.511052790124288,0.0560153197062391,0.511052790124288,0.0560153197062391,0.2,0.2,0.2,0.2,-0.511052790124288,0.3,4,0.2
1,5,8,0,0,3,1,1,1,0,0,0.0360254477231434,0.357736953087002,0.357736953087002,0.0360254477231434,0.2,0.2,0.2,0.2,-0.0360254477231434,0.3,4,0.2
1,5,9,0,0,1,2,1,2,1,0,0.0252178134062004,0.0560153197062391,0.0252178134062004,0.0560153197062391,0.2,0.2,0.2,0.2,-0.0252178134062004,0.3,4,0.2
1,5,10,0,0,1,2,2,1,0,0,0.0560153197062391,0.0176524693843403,0.0176524693843403,0.0560153197062391,0.2,0.2,0.2,0.2,-0.0560153197062391,0.3,4,0.2
1,5,11,0,0,3,1,3,2,1,0,0.357736953087002,0.0176524693843403,0.357736953087002,0.0176524693843403,0.2,0.2,0.2,0.2,-0.357736953087002,0.3,4,0.2
1,5,12,0,0,1,3,3,1,0,0,0.250415867160901,0.0176524693843403,0.0176524693843403,0.250415867160901,0.2,0.2,0.2,0.2,-0.250415867160901,0.3,4,0.2
1,5,13,0,0,1,3,3,1,0,0,0.175291107012631,0.0176524693843403,0.0176524693843403,0.175291107012631,0.2,0.2,0.2,0.2,-0.175291107012631,0.3,4,0.2
1,5,14,0,0,1,2,2,1,0,0,0.0392107237943674,0.0176524693843403,0.0176524693843403,0.0392107237943674,0.2,0.2,0.2,0.2,-0.0392107237943674,0.3,4,0.2
1,5,15,0,0,2,1,1,1,0,0,0.0176524693843403,0.0274475066560572,0.0274475066560572,0.0176524693843403,0.2,0.2,0.2,0.2,-0.0176524693843403,0.3,4,0.2
1,5,16,0,0,3,2,2,1,0,0,0.0274475066560572,0.122703774908842,0.122703774908842,0.0274475066560572,0.2,0.2,0.2,0.2,-0.0274475066560572,0.3,4,0.2
1,5,17,0,0,2,3,3,1,0,1,0.122703774908842,0.01921325465924,0.01921325465924,0.122703774908842,0.2,0.2,0.2,0.2,0.877296225091158,0.3,4,0.2
1,5,18,0,0,1,2,2,1,0,0,0.01921325465924,0.0123567285690382,0.0123567285690382,0.01921325465924,0.2,0.2,0.2,0.2,-0.01921325465924,0.3,4,0.2
1,5,19,0,0,2,3,2,2,1,0,0.013449278261468,0.385892642436189,0.013449278261468,0.385892642436189,0.2,0.2,0.2,0.2,-0.013449278261468,0.3,4,0.2
1,5,20,0,0,2,3,3,1,0,0,0.385892642436189,0.00941449478302761,0.00941449478302761,0.385892642436189,0.2,0.2,0.2,0.2,-0.385892642436189,0.3,4,0.2
1,5,21,0,0,1,2,2,1,0,0,0.00941449478302761,0.0123567285690382,0.0123567285690382,0.00941449478302761,0.2,0.2,0.2,0.2,-0.00941449478302761,0.3,4,0.2
1,5,22,0,0,2,3,3,1,0,1,0.270124849705332,0.00659014634811933,0.00659014634811933,0.270124849705332,0.2,0.2,0.2,0.2,0.729875150294668,0.3,4,0.2
1,5,23,0,0,3,1,3,2,1,0,0.489087394793733,0.0123567285690382,0.489087394793733,0.0123567285690382,0.2,0.2,0.2,0.2,-0.489087394793733,0.3,4,0.2
1,5,24,0,0,1,3,3,1,0,0,0.342361176355613,0.0123567285690382,0.0123567285690382,0.342361176355613,0.2,0.2,0.2,0.2,-0.342361176355613,0.3,4,0.2
1,5,25,0,0,1,2,2,1,0,0,0.00659014634811933,0.0123567285690382,0.0123567285690382,0.00659014634811933,0.2,0.2,0.2,0.2,-0.00659014634811933,0.3,4,0.2
1,6,1,1,0,3,2,3,2,1,0,0.239652823448929,0.00461310244368353,0.239652823448929,0.00461310244368353,0.2,0.2,0.2,0.2,-0.239652823448929,0.3,4,0.2
1,6,2,0,0,3,1,3,2,1,0,0.16775697641425,0.0123567285690382,0.16775697641425,0.0123567285690382,0.2,0.2,0.2,0.2,-0.16775697641425,0.3,4,0.2
1,6,3,0,0,2,1,2,2,1,0,0.00461310244368353,0.0123567285690382,0.00461310244368353,0.0123567285690382,0.2,0.2,0.2,0.2,-0.00461310244368353,0.3,4,0.2
1,6,4,0,0,1,2,1,2,1,0,0.0123567285690382,0.00322917171057847,0.0123567285690382,0.00322917171057847,0.2,0.2,0.2,0.2,-0.0123567285690382,0.3,4,0.2
1,6,5,0,0,3,1,3,2,1,0,0.117429883489975,0.00864970999832673,0.117429883489975,0.00864970999832673,0.2,0.2,0.2,0.2,-0.117429883489975,0.3,4,0.2
