mu_alpha,mu_beta,mu_kappa,mu_decay,sigma_alpha,sigma_beta,sigma_kappa,sigma_decay
1.9160996,-0.40451918,0.15085603,-0.16490591,2.0587958,1.1338424,0.74795108,3.124904
2.1185872,-0.23187057,0.21645403,-0.26066177,1.8926533,1.0004646,0.76057438,2.8180312
0.92330456,-0.49661177,0.10539348,0.06438342,2.742672,1.2949278,0.6435422,3.8594069
1.0805843,-0.10191913,0.0570965,0.78603903,2.0132849,1.4378308,0.57312762,1.8209891
0.39226073,-0.22748493,0.14892658,-0.19393213,2.659032,0.78866816,0.55997165,3.2838351
-0.0749174,0.21817169,0.01528846,0.14508545,1.9636161,1.1000799,0.59925355,3.7912014
-0.39655579,-0.25609653,-0.096822832,0.17431481,2.7852352,0.94124769,0.78343421,2.4819765
-0.56445328,-0.013420075,-0.054149556,0.11756729,2.2608014,1.0413881,0.73708676,2.5354107
0.51810697000000006,-0.19731274,0.20702597,2.708336,2.4551084,1.0456808,0.59421648,4.0926403
0.59329656,-0.17146222,0.23740917,2.4116014,2.1214871,1.1175261,0.64063707,4.1591162
1.9681131,-0.47858406,0.16158254,0.68689062,4.3033706,1.0056444,0.60012745,3.1214206
1.7453518,-0.41998135,0.18193327,0.46385114,4.270867,0.99897265,0.62677929,3.1211572
-0.89470912,0.11228647,0.25878043,0.70216082,3.52014,0.9820051,0.57891144,2.6179831
0.85395474,-0.34227085,0.21703798,1.5903301,2.4619032,0.7648399,0.57516898,3.4457375
-0.49951124,-0.18746677,0.32701664,1.22161,2.4282526,0.59601151,0.79509791,4.7896175
-0.077871879,-0.39990158,0.27174372,0.86309666,3.0798874,1.2193181,0.7685739,2.9728629
-0.28131543,0.37467294,0.12005083,0.74754285,3.3126874,0.85465148,0.54130779,2.6997583
-1.1569837,-0.044101379,0.061452845,1.1429094,4.5173594,0.92385964,0.69215761,3.1322937
-0.4871095,0.35455733,0.082394099,0.053293937,1.8879861,0.66741583,0.52388797,3.2563913
1.6150648,-0.593492,-0.041483733,-0.06655777,3.9129291,0.67223573,0.59786348,4.7695443
1.0358625,-0.43065316,-0.080305287,0.44018371,3.0408944,1.2995872,0.51555666,2.1018758
0.18242014,-0.061555575,-0.11947898,0.39537931,2.3653223,0.68402078,0.51700982,3.2023746
1.7814625,-0.24579667,-0.14341507,-0.11371978,1.4884218,0.9500427,0.64817778,2.5944882
0.31566851,-0.28727969,0.096752596,0.43055263,4.6074135,0.89385099,0.47457647,1.7318238
0.31812777,-0.060174502,-0.042336059,0.8869762,1.384872,0.80510734,0.77010925,3.006211
-0.082899853,0.27296317,-0.10045987,1.2491814,3.6713226,0.47753132,0.87037008,2.7543802
0.28631842,0.016809657,-0.036344728,2.0230154,3.9165509,1.0414304,0.53329609,2.929586
-0.13851039,0.2842906,0.1217306,-0.27249704,2.6038155,0.64738863,0.5630346,2.5776601
0.093490878,0.49634687,0.084477294,0.47782612,4.521138,0.52886875,0.53243883,2.5137368
-1.4884372,0.49555088,0.075081277,1.7989783,2.5787215,0.80571029,0.58352559,2.7843056
-1.047959,0.21671561,0.31233282,0.1807137,3.0471706,0.81378295,0.6577967,3.0136536
-0.64519701,-0.083452408,0.35738531,1.6689549,2.3543422,0.81502286,0.62137079,2.1209824
0.39803546,-0.14771035,0.22564117,1.5416086,2.1402724,1.0981741,0.51368818,4.0124497
-0.30513664,0.232318,0.20272295,0.53446846,2.0575173,0.73263566,0.63677388,3.8244711
0.34423519,-0.053282196,0.095180958,-0.2114847,3.4458069,0.90474316,0.49417331,4.9369923
-0.30077832,0.093682402,0.23138155,0.26996615,3.8842677,0.53786079,0.48028363,4.1476118
-0.62940188,-0.17452648,0.20477371,1.0387866,2.8425369,0.97920459,0.57152753,3.0890422
0.32560805,-0.42352039,0.18292724,1.3669699,2.7728693,0.97404122,0.54691678,3.0183867
-0.058561021,-0.34424725,0.17924152,1.0508736,3.0171602,1.0310142,0.61257581,2.363374
-1.6932805,0.43267418,0.1554372,-1.3484779,2.5979225,0.53166356,0.69263961,4.2049274
0.23413622,0.16422696,0.13148434,-0.86380302,2.8559645,0.79584746,0.54083035,4.3408257
-0.40106142,0.27943278,0.25027627,-1.0463094,3.4000611,0.94467203,0.55939743,2.9618983
-0.76402911,0.3752932,0.088470963,-0.54504473,3.5423084,0.80930312,0.50629812,2.7133617
-0.53488674,0.046849821,0.095083779,0.31300861,3.0367725,0.81581403,0.44120298,1.82096
-0.55556302,0.50900176,0.1177125,-0.26472963,3.8579509,0.79810704,0.42392523,2.6982972
0.31802185,-0.17620607,0.043101692,0.6679065,2.0743224,0.70682231,0.39567022,3.2188322
-0.49320518,0.22583929,0.16836343,-0.48057206,3.1725731,1.0313573,0.60387099,2.9589737
-0.27388079,0.72009795,0.049435076,-0.98127857,2.6991198,0.86917377,0.48387361,4.1366177
-1.5253927,0.26022251,0.020629203,-1.1206417,3.0808094,0.46205806,0.56677498,2.7739954
-0.26502321,0.47669951,-0.18782215,-0.15516359,1.8368793,0.30321321,0.56862628,4.2405618
0.025020761,-0.32540498,-0.12793784,-1.1752637,3.7181670000000002,1.2772092,0.55529718,3.2957429
1.4783229,-0.22319158,-0.048803019,-2.4875571,1.8827014,0.34533868,0.56821684,4.0944475
0.31129783,-0.76847226,0.02300029,-0.203683,2.794505,0.8722798,0.70277651,3.345775
0.69374411,-0.70704109,0.053112094,-1.2491692,0.55111014,0.99468316,0.57646867,3.7325028
0.84270387,-0.64472519,0.054233633,-0.71542104,0.59470726,1.0096449,0.68012541,3.7991308
4.320792,-0.57215854,-0.0077136591,-0.063084888,5.7010047,0.66558855,0.55307266,4.4672306
1.6203223,-1.4320194,0.018235178,0.40596841,1.3143595,1.2841858,0.40061431,1.9388056
1.6146908,-0.50733312,0.08765454,-0.039625017,0.67304844,0.94690214,0.41417883,2.6913275
0.57826387,-0.41373904,0.11440118,-0.10179933,1.8126781,0.84829971,0.36832671,2.7685408
1.6300366,-0.64863455,0.078396704,0.36659214,1.3831801,0.98151694,0.56423202,1.9878798
7.3551823,-0.69569954,0.15543148,-0.90042057,1.3639089,1.0828795,0.55650377,2.9968228
5.1696258,-0.60145559,0.19918544,-1.7071828,2.5106617,0.68368285,0.4870469,5.0930949
1.816319,-0.26219062,0.16479933,0.39759403,1.5509229,1.0266156,0.69268277,3.5488315
0.65123528,-0.59777917,0.18893208,1.5828044,1.4212153,1.1984125,0.58563487,5.6215911
2.3506058,-0.63956549,0.27388916,1.4606063,1.3531859,1.2007499,0.61069835,5.1641191
1.2974013,-0.68990203,0.16028135,2.8284106,1.6249948,0.8797759,0.6247476,5.5097084
2.0761133,-0.55415366,0.10585088,2.8254021,1.5940791,0.90627279,0.67616241,5.3979382
0.98000294,0.055570925,-0.11675234,0.29665975,3.430677,1.8332854,0.66859014,3.5638164
-0.33643326,-0.095438721,-0.10056478,-1.2346322,2.4145062,0.60635176,0.6215977,4.2683353
-2.5169217,0.26746803,-0.0085708287,-1.9048379,3.7216499,0.39865892000000003,0.57532562,4.4370312
-1.7089614,0.51019622,-0.14542153,-1.7757499,2.9123197,0.7057743,0.79606827,3.5612285
-2.3909713,1.2220165,-0.081005472,0.077323212,3.2199343,1.00256,0.42991661,2.3610682
-2.1820072,1.1572892,-0.092109263,1.1160325,4.7025589,1.5835982,0.48049525,2.3800986
-3.2937629,1.1188035,-0.036205458,0.80670554,4.6631141,1.2375871,0.42437801000000003,2.4985462
-4.4333017,1.1986106,0.012281359,-0.35352279,4.716286,1.0980038,0.40855083,3.82387
-0.30623571,0.77330004,0.10793702,-0.61761744,3.4799392,1.0378556,0.64231848,4.1762609
-0.28821553,0.79011215,0.10646121,0.099984777,4.9998632,1.4411164,0.6044708,3.7807277
0.68943874,0.40415849,0.19176926,-0.22814253,1.7916572,1.5612885,0.75879388,3.6680268
-0.65487126,-0.96481993,0.013654254,0.76365407,3.9436501,1.5064321,0.74106446,2.7149505
-1.2838706,0.61321062,0.071224965,-0.72553661,1.9954625,1.4343469,0.61653627,2.3017751
1.7479463,-0.5165496,0.14631419,0.9005991,3.6377194,1.2593184,0.64010999,3.3730988
1.2337453,0.058174213,-0.023539563,1.4860314,3.0590789,0.79159904,0.58211151,2.7465413
0.38537868,-0.2465749,0.078600025,1.8147858,3.6847319,1.4484935,0.50541838,4.8910389
0.20181516,0.51710559,0.087360337,-0.03905075,2.8970489,1.1838303,0.90514044,3.3016272
-0.11279997,0.53461079,-0.024695447,-0.50903607,4.6104458,0.97027918,0.71979365,3.5427663
0.05901464,-0.4355423,-0.02260323,-1.1654691,2.4142291,1.2585236,0.61529307,4.8200667
0.90350548,-0.13469045,-0.03493595,-1.8981095,2.7833391,0.78026315,0.51886935,3.8385362
0.35889389,-0.38137143,-0.025021298,-2.2004385,3.1719365,0.63422446,0.64860978,5.4045106
0.085818991,0.099263651,0.029557881,-0.37900525,2.1843698,0.48674837,0.56900575,2.6786701
-0.055048467,0.19035912,-0.045177432,-1.0381397,2.655869,0.88990475,0.75424479,3.4146261
-0.086078762,0.12983702,0.076119381,-0.55101145,3.3891048,0.77623398,0.51815372,3.1493994
-0.36654401,0.23423864,0.13866611,0.12020798,3.9643467,0.64822668,0.55212894,3.5673781
-0.4325279,0.17367687,0.044809701,-0.65419145,4.2209086,0.52031361,0.62409027,4.1990477
-1.5072584,0.28440574,0.18063099,0.22410789,2.2813924,0.43399734,0.53416902,2.7013885
-1.0622674,0.18709468,0.16518869,0.76678639,3.4822586,0.39828422,0.64960046,3.0752014
0.89108854,-0.01262359,0.090695914,-0.19873603,2.2961127,0.76109927,0.60909087,3.3863374
2.4247621,-0.51983141,-0.18185369,0.035497835,4.2031118,1.3402686,0.80642524,4.5406175
2.2101985,-0.24821801,-0.17324046,-0.11101562,4.2840787,0.99422873,0.7662496,3.5945359
3.1776871,-0.30909677,-0.22760096,0.27365099,3.8790667,0.76673226,0.69016207,4.639506
0.60474125,-0.77165008,-0.27640626,0.92304516,2.5435138,0.99738016,0.76806704,3.6262395
2.5522051,-0.57117481,-0.1606615,0.72792868,3.6582992,1.3406137,0.5704272,2.8806349
0.86295859,-0.29362791,0.042129538,0.17338974,2.3157057,1.0885229,0.61824304,5.2066053
-0.46367078,-0.49794707,0.032144291,-0.14682322,1.5035441,1.0501271,0.50770332,2.4188372
-0.95828598,0.28054942,-0.1561515,-0.68785087,2.5484377,1.0444033,0.5237583,2.6969758
-1.017403,0.41211421,-0.082834668,-0.95726486,3.8826251,1.2412216,0.72753434,2.9180173
-0.1194684,0.3574223,0.0015367423,-0.31437252,4.6740766,0.86312372,0.68823228,2.3248398
