participant,.draw,beta
60f19a691466276fe085b461,15,0.38170298
61563a4b0def9000ccc976ec,15,-0.34546004
62ebe597372fdef388b734b3,15,1.5394466
667bd577710d52a05ac09036,15,1.0824818
69728435c9476fe76dd2ab2f,15,0.24260047
697a645e36e6f14eea2b396b,15,0.36640679
697caeea2ec1c2604535f8aa,15,0.58296299
6980792fded33a62e27ce7cc,15,2.2452094
69808775dc84b90f4adafb2f,15,1.122955
6980990e5c9007100eb282b6,15,0.67310346
6980d9a70a7862a47c69046d,15,1.358682
6981150699107501d80e74b6,15,1.6447766
6981e6c2e26c88d954f297eb,15,0.35470391
69829236d776a93cf3afa632,15,1.1988598
698341d57fe7b870bddf91b8,15,-1.3298438
6984a9246122d3bd4ca0833e,15,1.2655097
69d5525ec7afcfce08d8608b,15,0.47239499
69d555ce85e30d6215e559d9,15,1.3377341
69dac2125e535db5a698ea18,15,-0.1036511
69e913482ae5864d44e6387c,15,0.43119385
60f19a691466276fe085b461,16,0.77707672
61563a4b0def9000ccc976ec,16,0.44240397
62ebe597372fdef388b734b3,16,1.070841
667bd577710d52a05ac09036,16,1.2989982
69728435c9476fe76dd2ab2f,16,0.52847228
697a645e36e6f14eea2b396b,16,-0.15619155
697caeea2ec1c2604535f8aa,16,0.92383817
6980792fded33a62e27ce7cc,16,2.0932176
69808775dc84b90f4adafb2f,16,0.68224471
6980990e5c9007100eb282b6,16,0.78569688
6980d9a70a7862a47c69046d,16,1.9949469
6981150699107501d80e74b6,16,1.2267694
6981e6c2e26c88d954f297eb,16,-0.081363046
69829236d776a93cf3afa632,16,0.72110007
698341d57fe7b870bddf91b8,16,-1.5663504
6984a9246122d3bd4ca0833e,16,1.899672
69d5525ec7afcfce08d8608b,16,0.20898026
69d555ce85e30d6215e559d9,16,0.56528694
69dac2125e535db5a698ea18,16,0.52608136
69e913482ae5864d44e6387c,16,0.98358017
60f19a691466276fe085b461,17,1.0730752
61563a4b0def9000ccc976ec,17,-0.3089414
62ebe597372fdef388b734b3,17,0.70592111
667bd577710d52a05ac09036,17,1.1898868
69728435c9476fe76dd2ab2f,17,0.062189576
697a645e36e6f14eea2b396b,17,0.43296567
697caeea2ec1c2604535f8aa,17,1.7668517
6980792fded33a62e27ce7cc,17,2.2868321
69808775dc84b90f4adafb2f,17,1.6435359
6980990e5c9007100eb282b6,17,0.59278814
6980d9a70a7862a47c69046d,17,2.8304571
6981150699107501d80e74b6,17,2.034667
6981e6c2e26c88d954f297eb,17,0.17868813
69829236d776a93cf3afa632,17,1.9334449
698341d57fe7b870bddf91b8,17,-1.6823822
6984a9246122d3bd4ca0833e,17,1.7689065
69d5525ec7afcfce08d8608b,17,1.1162412
