alpha,beta,p_stay_noreward,p_stay_reward
-0.89759899,0.66672538,0.28954416,0.44253662
-0.90432841,0.57246676,0.28816182,0.41778772
-0.904072,0.61943033,0.28821442,0.42931618
-1.0365808,0.77608741,0.26181026,0.43524242
-1.0223852,0.72483482,0.26456306,0.42615643
-0.99792198,0.72423775,0.26935018,0.43200285
-1.0046224,0.81096989,0.26803358,0.45173761
-1.0176331,0.78259746,0.26548869,0.44151009
-1.0359002,0.78842805,0.26194182,0.43844578
-1.051257,0.80830907,0.2589838,0.43956001
-1.049383,0.8053136,0.2593436,0.43928376
-1.0275247,0.71791039,0.26356428,0.42320889
-1.0135783,0.70784819,0.26628015,0.4241573
-1.0089489,0.72726518,0.26718561,0.43004104
-0.96181888,0.67829557,0.27651417,0.4295902
-0.94476307,0.65415406,0.27993923,0.42785478
-0.97099737,0.68643257,0.27468175,0.42933501
-0.93806209,0.63626628,0.28129196,0.42511854
-0.91121916,0.7155273,0.28675042,0.45123257
-0.933912,0.70325082,0.28213173,0.44258903
-0.93763899,0.65810943,0.2813775,0.43056911
-0.94050791,0.65516752,0.28079776,0.429145
-0.99670552,0.7287564,0.26958965,0.43341065
-0.93483963,0.62412117,0.28194389,0.42293938
-0.91279987,0.65584825,0.28642724,0.43611322
-1.0434626,0.71971392,0.26048244,0.41976244
-0.97904243,0.73541932,0.27308183,0.43939369
-1.0350883,0.73886387,0.26209883,0.42648072
-0.98880048,0.77513641,0.27114907,0.44678627
-0.88089503,0.60334807,0.29299234,0.43105527
-0.9935983,0.67736729,0.27020193,0.42159455
-1.0097392,0.75218037,0.26703089,0.4359639
-1.0584773,0.80087263,0.25760054,0.43595261
-1.0612548,0.79281738,0.25706973,0.43329075
-0.93642697,0.63350155,0.28162264,0.4248425
-0.9200271,0.67753044,0.28495237,0.43967118
-0.93552023,0.70383255,0.28180612,0.4423358
-0.92032393,0.70014377,0.2848919,0.44517627
-0.92888208,0.70455555,0.28315157,0.44415237
-1.0019973,0.64456498,0.2685489,0.41158126
-0.93005271,0.66344009,0.28291402,0.43373888
-0.93250877,0.63368476,0.28241602,0.42584499
-0.95275566,0.66098263,0.27833097,0.42756986
-0.97718649,0.78984438,0.2734504,0.45330098
-1.0034523,0.73762258,0.26826321,0.43393119
-1.0077686,0.73705742,0.26741676,0.4327325
