participant,block_number,trial_number,choice,E1,E2,E3
60e46e6f6bc0c2cdf5d077ce,5,17,3,-0.5948206436168344,-0.6887307524707577,-1.1172676173311449
60e46e6f6bc0c2cdf5d077ce,5,18,2,-0.3869555000313932,-0.44531236258261475,-1.5673366800519735
60e46e6f6bc0c2cdf5d077ce,5,19,1,-0.2486001492911011,-1.1610677125044466,-0.9898075874462776
60e46e6f6bc0c2cdf5d077ce,5,20,3,-1.0369877474526907,-0.7271186206501233,-0.6404520221032919
60e46e6f6bc0c2cdf5d077ce,5,21,2,-0.6497786574041,-0.4709072754762511,-1.2819411036796446
60e46e6f6bc0c2cdf5d077ce,5,22,2,-0.41876883702639195,-1.175817231536549,-0.8097036942555036
60e46e6f6bc0c2cdf5d077ce,5,23,1,-0.27038677864403005,-1.599937470405923,-0.5226142439691912
60e46e6f6bc0c2cdf5d077ce,5,24,2,-1.047584755571863,-1.013022005064376,-0.33567394043513077
60e46e6f6bc0c2cdf5d077ce,5,25,3,-0.6578789616695881,-1.5124789566056591,-0.2172805547971114
60e46e6f6bc0c2cdf5d077ce,6,1,2,0,0,0
60e46e6f6bc0c2cdf5d077ce,6,2,1,0,-0.8167260461260696,0
60e46e6f6bc0c2cdf5d077ce,6,3,3,-0.8167260461260696,-0.519515201643892,0
60e46e6f6bc0c2cdf5d077ce,6,4,2,-0.519515201643892,-0.33830303168765374,-0.8167260461260696
60e46e6f6bc0c2cdf5d077ce,6,5,2,-0.33830303168765374,-1.0494216199906963,-0.519515201643892
60e46e6f6bc0c2cdf5d077ce,6,6,3,-0.22145680388217054,-1.4987529584624568,-0.33830303168765374
60e46e6f6bc0c2cdf5d077ce,6,7,1,-0.14433400333551083,-0.9643319098415368,-1.0494216199906963
60e46e6f6bc0c2cdf5d077ce,6,8,2,-0.9337745807802408,-0.6258781057922589,-0.6748867135218048
60e46e6f6bc0c2cdf5d077ce,6,9,2,-0.5971819294681104,-1.2639190245994116,-0.43648497154777116
60e46e6f6bc0c2cdf5d077ce,6,10,3,-0.38370653058926574,-1.656357627125506,-0.2840843698028001
60e46e6f6bc0c2cdf5d077ce,6,11,3,-0.24878442670817913,-1.0541357634322215,-1.0414778090324863
60e46e6f6bc0c2cdf5d077ce,6,12,1,-0.1607490542789086,-0.6828985586330467,-1.498586328904191
60e46e6f6bc0c2cdf5d077ce,6,13,2,-0.9647973312047642,-0.440896597943788,-0.9561453764679145
60e46e6f6bc0c2cdf5d077ce,6,14,1,-0.6082881737758058,-1.1617939373579644,-0.6192625253247344
